0.856	3.802	1.328	0.824	1.263	3.571	5	1
1.51	5.221	2.015	1.053	1.35	5.029	2	1
0.751	3.664	1.328	0.733	1.337	3.407	4	1
0.808	3.893	1.42	0.916	1.404	3.608	6	1
0.963	4.214	1.603	0.824	1.379	3.99	3	1
1.198	4.58	1.74	1.008	1.31	4.373	2	1
1.168	4.305	1.603	0.962	1.186	4.173	2	1
0.598	3.16	1.237	0.641	1.249	3.061	2	1
1.487	4.992	1.969	1.053	1.253	4.865	2	1
0.856	3.647	1.42	0.824	1.293	3.681	3	1
1.269	4.534	1.74	1.008	1.212	4.464	2	1
1.359	4.855	1.786	1.053	1.297	4.592	3	1
0.965	3.939	1.42	0.916	1.203	3.808	2	1
1.382	4.855	1.878	1.008	1.275	4.683	2	1
1.286	5.038	1.924	0.962	1.476	4.701	2	1
0.917	4.031	1.511	0.87	1.325	3.845	4	1
1.171	4.397	1.557	1.053	1.235	4.136	5	1
1.003	4.351	1.695	0.87	1.412	4.173	2	1
1.267	4.534	1.557	1.099	1.214	4.3	4	1
1.71	5.221	1.924	1.237	1.193	5.011	2	1
3.075	7.42	2.84	1.466	1.339	7.143	2	2
3.363	7.832	2.977	1.603	1.364	7.562	2	2
2.706	6.962	2.702	1.42	1.34	6.76	2	2
2.842	7.099	2.702	1.511	1.326	6.888	2	2
3.608	7.649	2.84	1.557	1.213	7.489	2	2
2.314	6.321	2.473	1.237	1.291	6.159	2	2
2.125	6.595	2.656	1.145	1.531	6.359	2	2
2.301	6.779	2.748	1.099	1.493	6.523	2	2
2.482	6.916	2.84	1.282	1.442	6.742	2	2
3.128	7.832	2.931	1.557	1.467	7.543	2	2
2.643	6.779	2.519	1.511	1.3	6.45	2	2
2.498	6.779	2.656	1.191	1.375	6.541	2	2
2.767	7.053	2.748	1.42	1.345	6.888	2	2
3.065	7.557	2.931	1.374	1.394	7.288	2	2
3.371	7.328	2.611	1.74	1.191	7.143	2	2
2.446	6.504	2.473	1.328	1.293	6.286	2	2
2.48	6.366	2.427	1.374	1.223	6.286	2	2
2.545	6.55	2.382	1.466	1.261	6.377	2	2
2.874	7.191	2.748	1.511	1.346	7.015	2	2
2.358	6.824	2.702	1.099	1.477	6.614	2	2
1.601	4.947	1.786	1.282	1.143	4.774	3	3
1.819	5.221	1.832	1.374	1.121	5.029	2	3
1.21	4.534	1.74	0.962	1.27	4.391	2	3
1.638	4.901	1.649	1.328	1.096	4.774	2	3
1.833	5.221	1.924	1.328	1.112	5.102	2	3
2.031	5.405	1.878	1.42	1.076	5.284	2	3
1.729	5.084	1.786	1.328	1.118	4.92	2	3
1.949	5.359	1.878	1.42	1.102	5.248	2	3
1.72	5.084	1.74	1.328	1.124	4.92	4	3
1.628	4.992	1.74	1.282	1.145	4.81	2	3
1.829	5.221	1.878	1.374	1.115	5.084	2	3
1.919	5.359	1.924	1.374	1.119	5.211	2	3
1.687	5.176	1.832	1.237	1.188	4.956	2	3
1.678	4.992	1.786	1.282	1.111	4.883	2	3
1.687	4.992	1.74	1.237	1.105	4.883	2	3
1.51	4.763	1.695	1.145	1.124	4.646	2	3
1.596	4.992	1.832	1.191	1.168	4.847	2	3
1.743	5.038	1.786	1.328	1.089	4.938	2	3
1.565	4.855	1.74	1.237	1.126	4.719	3	3
1.94	5.359	1.878	1.42	1.107	5.211	2	3
0.648	3.71	1.511	0.641	1.588	3.626	2	4
0.908	4.26	1.74	0.779	1.494	4.118	2	4
0.881	4.397	1.832	0.55	1.641	4.282	2	4
0.474	3.115	1.237	0.55	1.53	3.025	2	4
0.514	3.664	1.511	0.595	1.954	3.553	2	4
0.692	3.847	1.603	0.641	1.599	3.772	2	4
0.657	3.847	1.557	0.55	1.686	3.681	2	4
0.499	3.618	1.466	0.55	1.961	3.48	2	4
0.86	4.26	1.74	0.687	1.578	4.1	2	4
0.623	3.618	1.466	0.55	1.572	3.462	2	4
0.548	3.344	1.42	0.55	1.527	3.316	2	4
0.732	3.939	1.649	0.595	1.585	3.845	2	4
0.499	3.252	1.328	0.504	1.584	3.116	2	4
0.701	3.71	1.557	0.55	1.469	3.681	2	4
0.81	4.351	1.74	0.733	1.749	4.154	2	4
0.703	3.985	1.603	0.641	1.69	3.845	2	4
0.596	3.389	1.42	0.55	1.442	3.371	2	4
0.782	4.534	1.832	0.779	1.965	4.409	2	4
0.669	3.847	1.603	0.595	1.654	3.662	3	4
0.709	3.939	1.695	0.55	1.637	3.936	2	4
1.439	5.038	1.969	0.962	1.319	4.901	2	5
1.557	4.992	1.878	1.145	1.198	4.847	2	5
1.385	4.855	1.832	0.962	1.273	4.701	2	5
1.632	5.313	2.107	1.099	1.294	5.211	2	5
1.267	4.947	1.969	0.916	1.444	4.756	2	5
1.441	4.947	1.832	1.053	1.27	4.774	2	5
1.777	5.405	2.107	1.145	1.23	5.284	2	5
1.737	5.176	1.878	1.191	1.153	5.029	2	5
1.353	4.809	1.924	0.962	1.278	4.774	2	5
1.544	5.038	1.878	1.053	1.23	4.865	2	5
1.353	4.947	1.969	0.916	1.352	4.792	3	5
2.077	5.817	2.107	1.374	1.218	5.63	2	5
1.745	5.313	1.969	1.191	1.21	5.193	2	5
1.611	5.542	2.244	0.962	1.426	5.357	4	5
1.34	4.809	1.924	0.962	1.29	4.719	2	5
1.401	4.809	1.878	0.962	1.234	4.701	2	5
1.632	5.496	2.153	1.099	1.384	5.302	3	5
1.567	5.13	1.924	1.099	1.256	4.993	2	5
1.439	5.176	2.061	1.008	1.392	5.029	2	5
1.408	5.13	2.107	0.962	1.398	4.974	2	5
0.816	3.939	1.511	0.733	1.422	3.717	2	6
0.808	3.939	1.603	0.733	1.437	3.79	2	6
0.845	4.58	1.924	0.687	1.856	4.373	2	6
0.659	3.573	1.511	0.641	1.449	3.498	2	6
0.892	4.122	1.649	0.779	1.425	3.99	2	6
0.587	3.481	1.282	0.595	1.543	3.225	3	6
0.529	3.389	1.42	0.504	1.625	3.298	2	6
0.688	3.573	1.42	0.687	1.387	3.426	2	6
0.644	3.664	1.557	0.641	1.559	3.571	2	6
0.619	3.847	1.603	0.55	1.789	3.626	2	6
0.757	4.031	1.695	0.641	1.604	3.863	2	6
0.812	3.847	1.511	0.687	1.364	3.699	2	6
0.856	4.168	1.695	0.687	1.518	3.99	2	6
0.673	3.481	1.328	0.687	1.346	3.298	2	6
0.795	3.985	1.603	0.687	1.494	3.845	2	6
0.569	3.115	1.191	0.641	1.276	3.006	3	6
0.892	4.031	1.695	0.733	1.363	3.918	2	6
0.919	4.305	1.786	0.779	1.509	4.154	2	6
0.829	3.893	1.557	0.733	1.368	3.735	2	6
0.684	3.71	1.511	0.641	1.505	3.517	3	6
1.401	4.489	1.511	1.191	1.075	4.355	2	7
1.756	5.45	1.878	1.42	1.265	5.175	4	7
1.771	5.221	1.649	1.466	1.152	4.993	3	7
1.613	4.855	1.649	1.282	1.093	4.683	2	7
1.202	4.214	1.42	1.099	1.105	4.082	3	7
1.705	4.947	1.649	1.374	1.073	4.81	2	7
1.993	5.45	1.786	1.42	1.115	5.229	4	7
1.03	3.939	1.282	1.053	1.127	3.735	3	7
1.022	3.939	1.282	1.099	1.136	3.772	2	7
1.901	5.405	1.695	1.42	1.149	5.12	4	7
1.393	4.58	1.74	1.099	1.126	4.446	2	7
1.483	4.763	1.603	1.191	1.144	4.519	3	7
1.395	4.58	1.511	1.237	1.125	4.373	3	7
2.071	5.496	1.786	1.511	1.091	5.339	2	7
1.645	4.947	1.557	1.42	1.113	4.737	2	7
1.655	4.947	1.786	1.282	1.106	4.865	2	7
1.429	4.626	1.603	1.237	1.12	4.501	2	7
1.825	5.038	1.649	1.466	1.04	4.92	2	7
1.64	5.038	1.695	1.282	1.157	4.829	4	7
1.403	4.58	1.511	1.191	1.118	4.355	3	7
0.999	4.214	1.649	0.733	1.33	4.191	2	8
1.716	5.359	1.969	1.099	1.252	5.248	2	8
1.968	5.908	2.061	1.191	1.327	5.612	3	8
0.946	4.26	1.603	0.733	1.434	4.063	3	8
1.156	4.718	1.74	0.824	1.44	4.482	2	8
1.158	4.763	1.878	0.824	1.465	4.646	2	8
1.133	4.718	1.878	0.779	1.469	4.683	2	8
1.712	5.679	2.244	1.008	1.409	5.594	2	8
1.045	4.626	1.786	0.733	1.532	4.446	2	8
1.106	4.58	1.649	0.87	1.419	4.373	2	8
1.177	4.855	1.786	0.824	1.498	4.61	2	8
1.561	5.13	1.832	1.099	1.261	4.883	2	8
1.175	4.763	1.786	0.824	1.445	4.573	2	8
1.082	4.855	1.786	0.87	1.629	4.592	4	8
1.338	4.855	1.786	0.962	1.317	4.701	2	8
1.07	4.397	1.649	0.916	1.352	4.3	2	8
1.347	4.947	1.832	0.962	1.359	4.792	2	8
1.045	4.58	1.74	0.779	1.502	4.373	2	8
1.768	5.542	2.015	1.099	1.299	5.357	2	8
1.315	4.763	1.74	0.962	1.29	4.592	2	8
3.354	7.145	2.519	1.878	1.138	6.906	3	9
3.287	7.191	2.611	1.74	1.176	6.888	3	9
3.47	7.74	2.702	1.649	1.291	7.307	2	9
4.051	7.786	2.611	2.061	1.119	7.489	3	9
2.427	6.092	2.244	1.466	1.143	5.922	2	9
2.312	6.092	2.29	1.42	1.201	5.922	2	9
2.278	5.908	2.061	1.511	1.146	5.649	3	9
2.37	6.137	2.29	1.42	1.188	5.94	2	9
4.147	7.878	2.611	2.198	1.119	7.726	2	9
2.173	5.817	2.061	1.42	1.164	5.557	3	9
2.423	6	2.244	1.466	1.111	5.885	2	9
2.117	5.634	2.061	1.328	1.121	5.539	2	9
3.528	7.695	2.473	1.969	1.255	7.033	4	9
3.04	8.611	2.198	1.969	1.824	6.614	8	9
3.245	7.191	2.656	1.649	1.192	7.033	2	9
3.159	7.053	2.519	1.695	1.178	6.815	3	9
2.851	6.687	2.473	1.557	1.173	6.505	2	9
2.708	6.458	2.244	1.649	1.152	6.195	2	9
5.276	8.702	2.794	2.473	1.074	8.418	2	9
2.847	6.55	2.244	1.74	1.127	6.286	2	9
1.766	5.954	2.473	1.145	1.501	5.703	2	10
2.205	6.366	2.519	1.374	1.375	6.14	3	10
2.471	6.687	2.519	1.557	1.353	6.432	3	10
2.047	6.092	2.519	1.237	1.356	5.995	2	10
2.484	6.87	2.748	1.42	1.421	6.632	3	10
